Meeting,Race Number,Distance,Tab No,Horse,Horseid,Weight,Barrier,Jockey,Jockeyid,Trainer,Trackcondition,Class Change,Hist Run Style,Settling Pos,Neural,age restrictions,Race Cl,Limitweight,sex restrictions,Weighttype,Age,Rno,Sex,Margin,LSFinPos,LSSP,Pricebf,MarketRank,Starters
Chinchilla,3,1030.0,3,Elusive Eagle,905888.0,60.5,2.0,Rhiannon Payne,15096,B Sheppard,Soft,-0.2,l,1.0,5.0,,Open,55.0,,Quality,7.0,41.0,Gelding,6.8,5.0,4.2,,,10
Chinchilla,3,1030.0,4,Hard Landing,916420.0,59.5,7.0,Hannah Phillips,15412,P Duff,Soft,0.3,op/mf,7.0,4.0,,Open,55.0,,Quality,6.0,32.0,Gelding,2.1,5.0,1.8,,,10
Chinchilla,3,1030.0,6,Dollop,958015.0,55.0,3.0,Tyler Leslight,16966,Nicholas Beck,Soft,-0.2,op,6.0,3.0,,Open,55.0,,Quality,5.0,19.0,Gelding,3.8,1.0,17.0,,,10
Chinchilla,3,1030.0,7,Deference,894238.0,55.0,5.0,Adam Sewell,15284,C Smith,Soft,-0.3,op,4.0,9.0,,Open,55.0,,Quality,7.0,39.0,Gelding,1.5,5.0,17.0,,,10
Chinchilla,3,1030.0,8,Inhinchable,939703.0,55.0,9.0,Adam Spinks,15708,Alistair Webb,Soft,0.0,mf,8.0,1.0,,Open,55.0,,Quality,5.0,26.0,Gelding,6.6,6.0,4.0,,,10
Chinchilla,3,1030.0,9,I Am Fearless,924317.0,55.0,4.0,Alisha Donald,16787,Glenn Richardson,Soft,-1.8,l,2.0,2.0,,Open,55.0,,Quality,6.0,24.0,Gelding,1.3,1.0,10.0,,,10
Chinchilla,3,1030.0,10,Mahbaby,958217.0,55.0,6.0,Gary Geran,3598,Corey & Kylie Geran,Soft,-5.6,mf,10.0,6.0,,Open,55.0,,Quality,5.0,15.0,Mare,0.4,3.0,6.0,,,10
Chinchilla,3,1030.0,11,Flank Speed,958416.0,55.0,8.0,S Champkin,16793,P J Wallace,Soft,-3.0,op,5.0,7.0,,Open,55.0,,Quality,4.0,9.0,Mare,0.6,3.0,4.8,,,10
Chinchilla,3,1030.0,12,Voulait,871521.0,55.0,1.0,Emily Promfrett,17261,M F Hemmings,Soft,-11.7,op,3.0,10.0,,Open,55.0,,Quality,9.0,81.0,Gelding,10.8,6.0,21.0,,,10
Chinchilla,4,1200.0,1,Fitzroy Boy,921484.0,62.0,5.0,Savannah Mc Cann,17181,B Sheppard,Soft,1.8,l,1.0,1.0,,Benchmark 60,55.0,,Handicap,7.0,34.0,Gelding,5.8,4.0,8.0,,,10
Chinchilla,4,1200.0,2,Finesse Tess,910580.0,62.0,6.0,Tyler Leslight,16966,Maleah Hill,Soft,-3.6,bm,8.0,7.0,,Benchmark 60,55.0,,Handicap,7.0,40.0,Mare,7.8,7.0,17.0,,,10
Chinchilla,4,1200.0,3,Sethlans,868799.0,61.0,2.0,P Hamblin,6633,C Smith,Soft,-4.6,op/mf,2.0,2.0,,Benchmark 60,55.0,,Handicap,8.0,44.0,Gelding,9.8,6.0,15.0,,,10
Chinchilla,4,1200.0,4,Barclays Bank,944754.0,60.5,9.0,Luke Miller,14499,G W Schrader,Soft,-0.3,mf,5.0,9.0,,Benchmark 60,55.0,,Handicap,5.0,27.0,Gelding,5.9,6.0,6.0,,,10
Chinchilla,4,1200.0,5,Sip It Slow,919793.0,60.0,1.0,Adam Sewell,15284,Beau Gorman,Soft,0.0,mf,4.0,3.0,,Benchmark 60,55.0,,Handicap,6.0,30.0,Mare,1.3,2.0,4.4,,,10
Chinchilla,4,1200.0,6,Three Stripes,895770.0,56.0,7.0,Emily Promfrett,17261,Malcolm Bailey,Soft,3.4,bm,7.0,4.0,,Benchmark 60,55.0,,Handicap,7.0,29.0,Gelding,3.6,3.0,6.0,,,10
Chinchilla,4,1200.0,7,The Dark,900817.0,57.5,4.0,S Apthorpe,4531,W P Baker,Soft,-4.2,bm,9.0,8.0,,Benchmark 60,55.0,,Handicap,7.0,40.0,Gelding,39.1,8.0,26.0,,,10
